"burchtID";"Jaar";"status";"bewoning";"Gebied"
342;2016;"Hoofdburcht";"Bewoond";"Voeren"
343;2016;"Hoofdburcht";"Bewoond";"Voeren"
344;2016;"Hoofdburcht";"Bewoond";"Voeren"
345;2016;"Hoofdburcht";"Bewoond";"Voeren"
346;2016;"Hoofdburcht";"Bewoond";"Voeren"
348;2016;"Hoofdburcht";"Bewoond";"Voeren"
349;2016;"Hoofdburcht";"Bewoond";"Voeren"
350;2016;"Hoofdburcht";"Bewoond";"Voeren"
351;2016;"Hoofdburcht";"Bewoond";"Voeren"
352;2016;"Bijburcht";"Niet_bewoond";"Voeren"
353;2016;"Hoofdburcht";"Bewoond";"Voeren"
354;2016;"Hoofdburcht";"Bewoond";"Voeren"
355;2016;"Hoofdburcht";"Bewoond";"Voeren"
356;2016;"Hoofdburcht";"Bewoond";"Voeren"
357;2016;"Hoofdburcht";"Bewoond";"Voeren"
359;2016;"Hoofdburcht";"Bewoond";"Voeren"
360;2016;"Hoofdburcht";"Bewoond";"Voeren"
361;2016;"Hoofdburcht";"Bewoond";"Voeren"
362;2016;"Verdwenen";"Niet_bewoond";"Voeren"
363;2016;"Hoofdburcht";"Bewoond";"Voeren"
364;2016;"Hoofdburcht";"Bewoond";"Voeren"
365;2016;"Hoofdburcht";"Bewoond";"Voeren"
366;2016;"Hoofdburcht";"Bewoond";"Voeren"
367;2016;"Hoofdburcht";"Bewoond";"Voeren"
368;2016;"Hoofdburcht";"Bewoond";"Voeren"
369;2016;"Hoofdburcht";"Bewoond";"Voeren"
370;2016;"Hoofdburcht";"Bewoond";"Voeren"
371;2016;"Hoofdburcht";"Bewoond";"Voeren"
372;2016;"Hoofdburcht";"Bewoond";"Voeren"
373;2016;"Hoofdburcht";"Bewoond";"Voeren"
374;2016;"Hoofdburcht";"Bewoond";"Voeren"
375;2016;"Hoofdburcht";"Bewoond";"Voeren"
376;2016;"Hoofdburcht";"Bewoond";"Voeren"
377;2016;"Hoofdburcht";"Bewoond";"Voeren"
378;2016;"Hoofdburcht";"Bewoond";"Voeren"
382;2016;"Hoofdburcht";"Bewoond";"Voeren"
383;2016;"Hoofdburcht";"Bewoond";"Voeren"
384;2016;"Hoofdburcht";"Bewoond";"Voeren"
385;2016;"Hoofdburcht";"Bewoond";"Voeren"
386;2016;"Hoofdburcht";"Bewoond";"Voeren"
387;2016;"Hoofdburcht";"Bewoond";"Voeren"
388;2016;"Hoofdburcht";"Bewoond";"Voeren"
389;2016;"Hoofdburcht";"Bewoond";"Voeren"
390;2016;"Hoofdburcht";"Bewoond";"Voeren"
391;2016;"Hoofdburcht";"Bewoond";"Voeren"
392;2017;"Bijburcht";"Bewoond";"Haspengouw"
392;2016;"Bijburcht";"Ongekend";"Haspengouw"
393;2017;"Bijburcht";"Ongekend";"Haspengouw"
394;2017;"Hoofdburcht";"Bewoond";"Haspengouw"
395;2018;"Hoofdburcht";"Bewoond";"Haspengouw"
396;2017;"Bijburcht";"Niet_bewoond";"Haspengouw"
396;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
396;2016;"Bijburcht";"Niet_bewoond";"Haspengouw"
